Date of Stop ,Time Of Stop ,Race,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,District
1/1/16,0:26:00,O ALL OTHERS,M,27,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,NORTH  BROADWAY At KEARNY SY,A
1/1/16,0:44:00,O ALL OTHERS,M,25,1 Moving Violation,1 No Search,2 Citation,SOUTH  COLUMBUS To E/B BROADWAY,A
1/1/16,0:56:00,O ALL OTHERS,M,20,1 Moving Violation,1 No Search,2 Citation,EAST  BROADWAY At COLUMUS ST,A
1/1/16,0:18:00,O ALL OTHERS,M,49,1 Moving Violation,1 No Search,2 Citation,WEST  BROADWAY LANE 1 W of MONTGOMERY TO COLUMBUS,A
1/1/16,0:32:00,B BLACK,F,24,1 Moving Violation,1 No Search,2 Citation,EAST  BROADWAY LANE 1 At ROMOLO,A
1/1/16,0:44:00,O ALL OTHERS,M,52,1 Moving Violation,1 No Search,2 Citation,SOUTH  COLUMBUS To E/B BROADWAY,A
1/1/16,1:22:00,O ALL OTHERS,M,22,1 Moving Violation,1 No Search,2 Citation,NORTH  COLUMBUS To E/B BROADWAY,A
1/1/16,1:02:00,B BLACK,M,28,1 Moving Violation,1 No Search,2 Citation,SOUTH  COLUMBUS To E/B BROADWAY,A
1/1/16,1:31:00,W WHITE,F,30,1 Moving Violation,1 No Search,2 Citation,SOUTH  COLUMBUS To E/B BROADWAY,A
1/1/16,1:44:00,O ALL OTHERS,M,27,1 Moving Violation,1 No Search,2 Citation,EAST  BROADWAY To N/B COLUMBUS,A
1/1/16,0:56:00,W WHITE,M,60,1 Moving Violation,1 No Search,2 Citation,SOUTH  COLUMBUS ST BROADWAY ST,A
1/1/16,10:46:00,W WHITE,M,27,7 Traffic Collision,1 No Search,2 Citation,NORTH  VAN NESS OFARRELL,J
1/1/16,11:55:00,O ALL OTHERS,M,56,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  LINCOLN At 25TH AVE,I
1/1/16,13:00:00,O ALL OTHERS,F,51,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  OAK At DIVISADERO,F
1/1/16,13:16:00,O ALL OTHERS,M,71,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  BRYANT At 10TH ST,B
1/1/16,17:07:00,W WHITE,M,26,1 Moving Violation,1 No Search,3 Warning,EAST  BAY ST To S/B LAGUNA ST,E
1/1/16,0:14:00,B BLACK,M,53,1 Moving Violation,1 No Search,2 Citation,NB POLK ST At CEDAR ST,E
1/1/16,1:43:00,B BLACK,M,53,1 Moving Violation,1 No Search,4 Incident Report,NB POLK ST At CEDAR ST,E
1/2/16,9:42:00,B BLACK,F,21,1 Moving Violation,1 No Search,2 Citation,WEST  MISSION ST To S/B 10TH ST,B
1/2/16,9:56:00,B BLACK,M,59,1 Moving Violation,1 No Search,2 Citation,WEST  MISSION ST To S/B 10TH ST,B
1/2/16,10:19:00,W WHITE,M,50,1 Moving Violation,1 No Search,2 Citation,WEST  MISSION ST To S/B 10TH ST,B
1/2/16,10:40:00,W WHITE,F,68,1 Moving Violation,1 No Search,2 Citation,SOUTH  10TH ST BET MISSION AND FOLSOM STS,B
1/2/16,11:00:00,O ALL OTHERS,M,33,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  FOLSOM ST At 9TH ST,B
1/2/16,9:42:00,A ASIAN,M,68,1 Moving Violation,1 No Search,2 Citation,EAST  GEARY BLVD To S/B LAGUNA ST,E
1/2/16,9:56:00,O ALL OTHERS,M,47,1 Moving Violation,1 No Search,2 Citation,WEST  GEARY BLVD To N/B LAGUNA ST,E
1/2/16,10:34:00,W WHITE,M,43,1 Moving Violation,1 No Search,2 Citation,WEST  GEARY BLVD To N/B LAGUNA ST,E
1/2/16,10:29:00,O ALL OTHERS,M,31,1 Moving Violation,1 No Search,2 Citation,SOUTH  LAGUNA To W/B GEARY,E
1/2/16,10:51:00,O ALL OTHERS,M,31,1 Moving Violation,1 No Search,3 Warning,WEST  GEARY To N/B LAGUNA,E
1/2/16,11:05:00,W WHITE,M,25,1 Moving Violation,1 No Search,2 Citation,SOUTH  LAGUNA To W/B GEARY,E
1/2/16,9:30:00,A ASIAN,M,46,1 Moving Violation,1 No Search,2 Citation,EAST  OFARRELL STREET To E/B MARKET STREET,J
1/2/16,9:43:00,B BLACK,F,40,1 Moving Violation,1 No Search,2 Citation,EAST  OFARRELL STREET To W/B MARKET STREET,J
1/2/16,9:56:00,B BLACK,M,36,1 Moving Violation,1 No Search,2 Citation,EAST  OFARRELL STREET To W/B MARKET STREET,J
1/2/16,10:13:00,A ASIAN,M,57,1 Moving Violation,1 No Search,2 Citation,EAST  OFARRELL STREET To W/B MARKET STREET,J
1/2/16,10:41:00,W WHITE,M,50,1 Moving Violation,1 No Search,2 Citation,EAST  OFARRELL STREET To E/B MARKET STREET,J
1/2/16,10:50:00,W WHITE,M,34,1 Moving Violation,1 No Search,3 Warning,EAST  OFARRELL STREET To E/B MARKET STREET,J
1/2/16,10:15:00,W WHITE,F,21,1 Moving Violation,1 No Search,2 Citation,EAST EB OFARRELL To W/B MARKET,J
1/2/16,10:22:00,W WHITE,M,39,1 Moving Violation,1 No Search,2 Citation,EAST EB OFARRELL To W/B MARKET,J
1/2/16,10:31:00,O ALL OTHERS,M,44,1 Moving Violation,1 No Search,2 Citation,EAST EB OFARRELL To W/B MARKET,J
1/2/16,10:55:00,H HISPANIC,M,61,1 Moving Violation,1 No Search,2 Citation,EAST EB OFARRELL To E/B MARKET,J
1/2/16,9:48:00,B BLACK,M,36,1 Moving Violation,1 No Search,2 Citation,EAST  GEARY BLVD S of LAGUNA ST,E
1/2/16,10:00:00,W WHITE,M,48,1 Moving Violation,1 No Search,2 Citation,WEST  GEARY BLVD N of LAGUNA ST,E
1/2/16,10:42:00,A ASIAN,M,34,1 Moving Violation,1 No Search,2 Citation,WEST  GEARY BLVD N of LAGUNA ST,E
1/2/16,11:18:00,W WHITE,M,38,1 Moving Violation,1 No Search,2 Citation,WEST  GEARY BLVD N of LAGUNA ST,E
1/2/16,12:20:00,W WHITE,F,50,1 Moving Violation,1 No Search,3 Warning,SOUTH  8TH BRYANT,B
1/2/16,12:35:00,H HISPANIC,M,24,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT 4TH,B
1/2/16,13:03:00,H HISPANIC,F,46,1 Moving Violation,1 No Search,3 Warning,EAST  BRYANT 5-4TH,B
1/2/16,11:07:00,W WHITE,M,31,1 Moving Violation,1 No Search,2 Citation,WEST  LINCOLN WAY At 45TH AVENUE,I
1/2/16,12:37:00,W WHITE,F,31,1 Moving Violation,1 No Search,2 Citation,EAST  TOWNSEND STREET At 5TH STREET,B
1/2/16,12:50:00,W WHITE,M,67,1 Moving Violation,1 No Search,2 Citation,WEST  TOWNSEND ST At 5TH STREET,B
1/2/16,13:00:00,H HISPANIC,M,39,1 Moving Violation,1 No Search,2 Citation,WEST  TOWNSEND STREET To N/B 5TH STREET,B
1/2/16,14:30:00,B BLACK,M,32,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,WEST  MARKET ST To S/B 10TH ST,B
1/2/16,15:01:00,B BLACK,M,58,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  MARKET ST At 10TH ST,B
1/2/16,15:13:00,W WHITE,M,33,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  MARKET ST At 10TH ST,B
1/2/16,15:19:00,W WHITE,M,46,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  MARKET ST At 10TH ST,B
1/2/16,15:25:00,W WHITE,F,19,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  MARKET ST At 10TH ST,B
1/2/16,15:34:00,W WHITE,M,51,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  MARKET ST At 10TH ST,B
1/2/16,15:48:00,O ALL OTHERS,M,34,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  MARKET ST At 10TH ST,B
1/2/16,16:11:00,A ASIAN,M,61,1 Moving Violation,1 No Search,2 Citation,EAST  17TH ST At EUREKA ST,D
1/2/16,16:23:00,H HISPANIC,M,44,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  17TH ST At EUREKA ST,D
1/2/16,16:41:00,O ALL OTHERS,M,38,1 Moving Violation,1 No Search,3 Warning,EAST  17TH ST At EUREKA ST,D
1/2/16,16:50:00,W WHITE,M,61,1 Moving Violation,1 No Search,2 Citation,EAST  17TH ST At EUREKA ST,D
1/2/16,15:24:00,W WHITE,F,35,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,NORTH NB SAN JOSE AVE At PILGRIM,H
1/2/16,15:35:00,W WHITE,M,32,1 Moving Violation,1 No Search,3 Warning,EAST EB MONTEREY To N/B DIAMOND ST,H
1/2/16,16:34:00,W WHITE,F,35,1 Moving Violation,1 No Search,2 Citation,EAST EB 18TH ST To N/B GUERRERO ST,D
1/2/16,17:56:00,O ALL OTHERS,F,49,1 Moving Violation,1 No Search,2 Citation,EAST EB 14TH ST To S/B VALENCIA ST,D
1/2/16,19:32:00,W WHITE,M,57,1 Moving Violation,1 No Search,2 Citation,NORTH NB MISSION ST To W/B 16TH ST,D
1/2/16,14:23:00,A ASIAN,M,59,1 Moving Violation,1 No Search,2 Citation,3RD ST At JESSIE ST,A
1/2/16,14:43:00,O ALL OTHERS,M,38,1 Moving Violation,1 No Search,2 Citation,NORTH  6TH ST To E/B MARKET ST,J
1/2/16,14:51:00,O ALL OTHERS,F,37,1 Moving Violation,1 No Search,2 Citation,SOUTH  6TH ST To E/B MISSION ST,J
1/2/16,16:44:00,O ALL OTHERS,M,39,1 Moving Violation,1 No Search,2 Citation,POLK ST At BONITA ST,E
1/2/16,17:16:00,H HISPANIC,M,30,1 Moving Violation,1 No Search,2 Citation,WEST  MISSION ST To N/B 3RD ST,B
1/2/16,18:00:00,O ALL OTHERS,F,42,1 Moving Violation,1 No Search,2 Citation,NEW MONTGOMERY ST At MISSION ST,A
1/2/16,15:53:00,W WHITE,M,59,1 Moving Violation,1 No Search,3 Warning,WEST  LAKE At 6TH AV,G
1/2/16,15:59:00,W WHITE,M,67,1 Moving Violation,1 No Search,3 Warning,WEST  LAKE To S/B 6TH AV,G
1/2/16,16:18:00,W WHITE,F,54,1 Moving Violation,1 No Search,3 Warning,EAST  LAKE At 6TH AV,G
1/2/16,16:45:00,W WHITE,F,41,1 Moving Violation,1 No Search,2 Citation,WEST  LAKE At 6TH AV,G
1/2/16,16:06:00,A ASIAN,M,56,1 Moving Violation,1 No Search,3 Warning,WEST  LAKE At 6TH AV,G
1/2/16,17:13:00,O ALL OTHERS,M,42,1 Moving Violation,1 No Search,2 Citation,WEST  LAKE At 6TH AV,G
1/2/16,17:30:00,A ASIAN,F,33,1 Moving Violation,1 No Search,2 Citation,EAST  LAKE To S/B 6TH ST,G
1/2/16,17:39:00,A ASIAN,M,63,1 Moving Violation,1 No Search,2 Citation,WEST  LAKE At 6TH AV,G
1/2/16,18:08:00,W WHITE,M,59,1 Moving Violation,1 No Search,2 Citation,EAST  LAKE At 6TH AV,G
1/2/16,14:50:00,W WHITE,F,29,1 Moving Violation,1 No Search,2 Citation,NORTH  DOLORES ST At 19TH ST,D
1/2/16,15:22:00,W WHITE,M,43,1 Moving Violation,1 No Search,2 Citation,NORTH  DOLORES ST At 19TH ST,D
1/2/16,15:43:00,W WHITE,F,55,1 Moving Violation,1 No Search,3 Warning,NORTH  DOLORES ST At 19TH ST,D
1/2/16,15:07:00,W WHITE,F,28,1 Moving Violation,1 No Search,2 Citation,SOUTH  DOLORES ST At 19TH ST,D
1/2/16,16:36:00,O ALL OTHERS,M,57,1 Moving Violation,1 No Search,2 Citation,NORTH  DOLORES ST At 19TH ST,D
1/2/16,15:41:00,W WHITE,M,37,1 Moving Violation,1 No Search,2 Citation,WEST  TARAVEL To S/B 19TH ST,I
1/2/16,15:54:00,A ASIAN,M,29,1 Moving Violation,1 No Search,2 Citation,WEST  TARAVEL To S/B 19TH ST,I
1/2/16,16:30:00,W WHITE,F,26,1 Moving Violation,"2 Search Without Consent, Positive Result",3 Warning,EAST  FULTON At 6TH AVE,I
1/2/16,16:43:00,W WHITE,M,41,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  FULTON At LYON,E
1/2/16,17:07:00,B BLACK,M,20,1 Moving Violation,1 No Search,2 Citation,SB DOLORES ST   NO-2 LANE At 19TH ST,D
1/2/16,18:25:00,H HISPANIC,M,71,1 Moving Violation,1 No Search,2 Citation,NB -SB 1995 MISSION ST,D
1/2/16,18:43:00,H HISPANIC,M,47,1 Moving Violation,1 No Search,2 Citation,WB TO EB 2960  16TH ST,D
1/2/16,18:07:00,W WHITE,M,42,1 Moving Violation,1 No Search,2 Citation,EB 16TH ST To N/B MISSION ST,D
1/2/16,19:20:00,H HISPANIC,M,26,1 Moving Violation,1 No Search,2 Citation,SB VALECIA ST At 19TH ST AND 20TH ST,D
1/2/16,15:20:00,O ALL OTHERS,M,55,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  MARKET ST At 10TH ST,J
1/2/16,15:32:00,O ALL OTHERS,M,54,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  MARKET ST At 10TH ST,J
1/2/16,15:39:00,O ALL OTHERS,M,41,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  MARKET ST At 10TH ST,J
1/2/16,16:12:00,O ALL OTHERS,M,30,1 Moving Violation,1 No Search,2 Citation,EAST  17TH ST To S/B EUREKA ST,F
1/2/16,16:24:00,W WHITE,F,70,2 Mechanical or Nonmoving Violation,1 No Search,3 Warning,EAST  17TH ST To S/B EUREKA ST,J
1/2/16,16:54:00,O ALL OTHERS,M,33,1 Moving Violation,1 No Search,2 Citation,EAST  17TH ST To S/B EUREKA ST,J
1/3/16,10:10:00,W WHITE,M,69,1 Moving Violation,1 No Search,3 Warning,EAST  OFARRELL MARKET ST,J
1/3/16,10:25:00,B BLACK,M,57,1 Moving Violation,1 No Search,2 Citation,EAST  OFRRELL ST MARKET ST,J
1/2/16,14:58:00,O ALL OTHERS,M,31,1 Moving Violation,1 No Search,2 Citation,SOUTH  POLK ELLIS,E
1/2/16,15:11:00,W WHITE,M,28,1 Moving Violation,1 No Search,2 Citation,EAST  POST POLK,E
1/2/16,16:47:00,W WHITE,F,27,1 Moving Violation,1 No Search,2 Citation,EAST  FOLSOM 10TH ST,B
1/2/16,17:28:00,A ASIAN,M,30,1 Moving Violation,1 No Search,2 Citation,SOUTH  8TH ST HARRISON,B
1/2/16,17:03:00,W WHITE,F,30,1 Moving Violation,1 No Search,2 Citation,NORTH  9TH ST MARKET,B
